departamento,year,month,chirps_precip_mm
Caldas,1981,1,83.8885
Caldas,1981,2,196.01973
Caldas,1981,3,209.91017
Caldas,1981,4,349.2421
Caldas,1981,5,418.13763
Caldas,1981,6,307.40854
Caldas,1981,7,154.1921
Caldas,1981,8,245.82747
Caldas,1981,9,251.61095
Caldas,1981,10,341.05612
Caldas,1981,11,331.29852
Caldas,1981,12,223.37926
Caldas,1982,1,184.14081
Caldas,1982,2,244.399
Caldas,1982,3,223.04573
Caldas,1982,4,355.42255
Caldas,1982,5,398.81583
Caldas,1982,6,138.98221
Caldas,1982,7,91.39523
Caldas,1982,8,71.292725
Caldas,1982,9,252.77708
Caldas,1982,10,346.72467
Caldas,1982,11,259.04263
Caldas,1982,12,224.8802
Caldas,1983,1,100.45735
Caldas,1983,2,97.91781
Caldas,1983,3,263.75067
Caldas,1983,4,401.1515
Caldas,1983,5,292.71912
Caldas,1983,6,149.93076
Caldas,1983,7,169.72372
Caldas,1983,8,146.24768
Caldas,1983,9,263.54547
Caldas,1983,10,335.45273
Caldas,1983,11,243.5034
Caldas,1983,12,279.0916
Caldas,1984,1,195.62936
Caldas,1984,2,289.32535
Caldas,1984,3,191.98576
Caldas,1984,4,272.59528
Caldas,1984,5,344.7895
Caldas,1984,6,307.0918
Caldas,1984,7,223.85019
Caldas,1984,8,257.34814
Caldas,1984,9,362.7042
Caldas,1984,10,437.67136
Caldas,1984,11,360.8695
Caldas,1984,12,171.99913
Caldas,1985,1,71.24385
Caldas,1985,2,108.3956
Caldas,1985,3,189.33278
Caldas,1985,4,224.99686
Caldas,1985,5,236.99062
Caldas,1985,6,129.60956
Caldas,1985,7,154.30223
Caldas,1985,8,281.12225
Caldas,1985,9,315.75385
Caldas,1985,10,331.47287
Caldas,1985,11,260.26035
Caldas,1985,12,113.33994
Caldas,1986,1,238.65921
Caldas,1986,2,213.68544
Caldas,1986,3,190.95918
Caldas,1986,4,391.69403
Caldas,1986,5,324.30963
Caldas,1986,6,226.74342
Caldas,1986,7,56.04382
Caldas,1986,8,205.82019
Caldas,1986,9,231.2966
Caldas,1986,10,420.51404
Caldas,1986,11,284.33142
Caldas,1986,12,142.15839
Caldas,1987,1,127.339325
Caldas,1987,2,130.3655
Caldas,1987,3,187.6545
Caldas,1987,4,299.8167
Caldas,1987,5,318.90494
Caldas,1987,6,143.77022
Caldas,1987,7,284.88754
Caldas,1987,8,166.6061
Caldas,1987,9,325.61795
Caldas,1987,10,414.40292
Caldas,1987,11,237.66891
Caldas,1987,12,150.02151
Caldas,1988,1,77.39155
Caldas,1988,2,210.13094
Caldas,1988,3,132.78487
Caldas,1988,4,368.5663
Caldas,1988,5,253.93822
Caldas,1988,6,248.82574
Caldas,1988,7,164.2943
Caldas,1988,8,378.52167
Caldas,1988,9,346.97205
Caldas,1988,10,358.3502
Caldas,1988,11,433.9169
Caldas,1988,12,265.73776
Caldas,1989,1,246.59897
Caldas,1989,2,188.84253
Caldas,1989,3,331.18668
Caldas,1989,4,237.18567
Caldas,1989,5,308.6957
Caldas,1989,6,280.52097
Caldas,1989,7,166.15553
Caldas,1989,8,241.59514
Caldas,1989,9,362.65625
Caldas,1989,10,392.24408
Caldas,1989,11,266.22815
Caldas,1989,12,206.28029
Caldas,1990,1,168.20934
Caldas,1990,2,173.8181
Caldas,1990,3,218.64767
Caldas,1990,4,328.49902
Caldas,1990,5,212.18208
Caldas,1990,6,154.0379
Caldas,1990,7,215.95993
Caldas,1990,8,144.53098
Caldas,1990,9,278.5095
Caldas,1990,10,415.48782
Caldas,1990,11,250.13725
Caldas,1990,12,215.03998
Caldas,1991,1,111.48094
Caldas,1991,2,116.01593
Caldas,1991,3,234.89189
Caldas,1991,4,238.74072
Caldas,1991,5,268.8245
Caldas,1991,6,219.39316
Caldas,1991,7,191.23404
Caldas,1991,8,131.68243
Caldas,1991,9,265.33902
Caldas,1991,10,243.76685
Caldas,1991,11,299.8493
Caldas,1991,12,197.9241
Caldas,1992,1,130.20862
Caldas,1992,2,145.62688
Caldas,1992,3,165.58528
Caldas,1992,4,219.38768
Caldas,1992,5,330.70767
Caldas,1992,6,136.15176
Caldas,1992,7,118.6163
Caldas,1992,8,227.14496
Caldas,1992,9,258.33774
Caldas,1992,10,248.19669
Caldas,1992,11,285.12177
Caldas,1992,12,231.75551
Caldas,1993,1,218.36607
Caldas,1993,2,125.29978
Caldas,1993,3,254.50558
Caldas,1993,4,326.68628
Caldas,1993,5,360.0008
Caldas,1993,6,112.00554
Caldas,1993,7,161.54169
Caldas,1993,8,198.39354
Caldas,1993,9,360.08984
Caldas,1993,10,271.5426
Caldas,1993,11,359.41772
Caldas,1993,12,202.02972
Caldas,1994,1,181.23062
Caldas,1994,2,222.95718
Caldas,1994,3,285.7033
Caldas,1994,4,338.62198
Caldas,1994,5,293.28195
Caldas,1994,6,128.03027
Caldas,1994,7,143.36581
Caldas,1994,8,150.8777
Caldas,1994,9,219.0397
Caldas,1994,10,315.15332
Caldas,1994,11,330.71957
Caldas,1994,12,169.52492
Caldas,1995,1,83.64814
Caldas,1995,2,77.968216
Caldas,1995,3,241.90924
Caldas,1995,4,336.06653
Caldas,1995,5,316.9457
Caldas,1995,6,259.75214
Caldas,1995,7,282.88687
Caldas,1995,8,248.51639
Caldas,1995,9,212.01385
Caldas,1995,10,279.30728
Caldas,1995,11,233.49188
Caldas,1995,12,285.1286
Caldas,1996,1,196.82246
Caldas,1996,2,209.55536
Caldas,1996,3,314.88824
Caldas,1996,4,268.56467
Caldas,1996,5,377.05737
Caldas,1996,6,269.51837
Caldas,1996,7,171.8681
Caldas,1996,8,224.03699
Caldas,1996,9,218.87079
Caldas,1996,10,302.59497
Caldas,1996,11,222.04616
