system:index,date_ref,depto,month,ndvi_mean,ndvi_median,ndvi_p90,year,.geo
0_0003000000000000008f,1981-01-01,Caldas,1,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00030000000000000092,1981-01-01,Cauca,1,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0003000000000000008f,1981-02-01,Caldas,2,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00030000000000000092,1981-02-01,Cauca,2,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0003000000000000008f,1981-03-01,Caldas,3,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00030000000000000092,1981-03-01,Cauca,3,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0003000000000000008f,1981-04-01,Caldas,4,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00030000000000000092,1981-04-01,Cauca,4,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0003000000000000008f,1981-05-01,Caldas,5,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00030000000000000092,1981-05-01,Cauca,5,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0003000000000000008f,1981-06-01,Caldas,6,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00030000000000000092,1981-06-01,Cauca,6,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0003000000000000008f,1981-07-01,Caldas,7,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00030000000000000092,1981-07-01,Cauca,7,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0003000000000000008f,1981-08-01,Caldas,8,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00030000000000000092,1981-08-01,Cauca,8,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0003000000000000008f,1981-09-01,Caldas,9,,,,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
